congress,member_a,member_b,party_a,party_b,nominate_a,nominate_b,distance,weight
96,1305,1584,Democrat,Republican,-0.2418,0.2936,0.5354,1
96,1305,1594,Democrat,Republican,-0.2418,0.4116,0.6534,3
96,1305,1596,Democrat,Republican,-0.2418,0.1436,0.3854,2
96,1305,1603,Democrat,Republican,-0.2418,0.1946,0.4364,1
96,1305,1605,Democrat,Republican,-0.2418,0.2174,0.4592,1
96,1305,1610,Democrat,Republican,-0.2418,0.2497,0.4915,3
96,1305,1626,Democrat,Republican,-0.2418,0.4362,0.678,1
96,1305,1635,Democrat,Republican,-0.2418,0.2381,0.4799,1
96,1305,1638,Democrat,Republican,-0.2418,0.3443,0.5861,4
96,1305,1649,Democrat,Republican,-0.2418,0.4512,0.693,3
96,1305,1663,Democrat,Republican,-0.2418,-0.0121,0.2297,4
96,1305,1674,Democrat,Republican,-0.2418,0.1559,0.3977,1
96,1305,1680,Democrat,Republican,-0.2418,0.2246,0.4664,1
96,1305,1690,Democrat,Republican,-0.2418,0.2488,0.4906,5
96,1305,1695,Democrat,Republican,-0.2418,0.3027,0.5445,2
96,1305,1697,Democrat,Republican,-0.2418,0.145,0.3868,1
96,1305,1709,Democrat,Republican,-0.2418,0.2664,0.5082,2
96,1305,1727,Democrat,Republican,-0.2418,0.21,0.4518,2
96,1306,1594,Democrat,Republican,-0.4643,0.4116,0.8759,2
96,1306,1612,Democrat,Republican,-0.4643,0.0662,0.5305,4
96,1306,1631,Democrat,Republican,-0.4643,0.3529,0.8172,2
96,1306,1643,Democrat,Republican,-0.4643,0.2739,0.7382,2
96,1306,1659,Democrat,Republican,-0.4643,0.1441,0.6084,1
96,1306,1672,Democrat,Republican,-0.4643,0.2336,0.6979,3
96,1306,1713,Democrat,Republican,-0.4643,-0.0192,0.4451,1
96,1306,1716,Democrat,Republican,-0.4643,0.2723,0.7366,1
96,1306,1731,Democrat,Republican,-0.4643,0.2537,0.718,1
96,1307,1589,Democrat,Republican,-0.3206,0.1691,0.4897,4
96,1307,1597,Democrat,Republican,-0.3206,0.3717,0.6923,2
96,1307,1627,Democrat,Republican,-0.3206,0.2224,0.543,1
96,1307,1635,Democrat,Republican,-0.3206,0.2381,0.5587,5
96,1307,1639,Democrat,Republican,-0.3206,0.5738,0.8944,1
96,1307,1646,Democrat,Republican,-0.3206,0.345,0.6656,2
96,1307,1652,Democrat,Republican,-0.3206,0.3306,0.6512,2
96,1307,1654,Democrat,Republican,-0.3206,0.2356,0.5562,6
96,1307,1663,Democrat,Republican,-0.3206,-0.0121,0.3085,2
96,1307,1679,Democrat,Republican,-0.3206,0.4248,0.7454,1
96,1307,1686,Democrat,Republican,-0.3206,0.4513,0.7719,4
96,1307,1688,Democrat,Republican,-0.3206,0.3132,0.6338,1
96,1307,1716,Democrat,Republican,-0.3206,0.2723,0.5929,6
96,1307,1718,Democrat,Republican,-0.3206,0.3117,0.6323,1
96,1307,1723,Democrat,Republican,-0.3206,0.3884,0.709,1
96,1307,1724,Democrat,Republican,-0.3206,0.3712,0.6918,1
96,1308,1603,Democrat,Republican,-0.3264,0.1946,0.521,1
96,1308,1609,Democrat,Republican,-0.3264,0.3302,0.6566,2
96,1308,1611,Democrat,Republican,-0.3264,0.2441,0.5705,3
96,1308,1635,Democrat,Republican,-0.3264,0.2381,0.5645,3
96,1308,1639,Democrat,Republican,-0.3264,0.5738,0.9002,3
96,1308,1640,Democrat,Republican,-0.3264,0.1355,0.4619,7
96,1308,1646,Democrat,Republican,-0.3264,0.345,0.6714,3
96,1308,1681,Democrat,Republican,-0.3264,0.3415,0.6679,3
96,1308,1682,Democrat,Republican,-0.3264,0.2816,0.608,10
96,1308,1688,Democrat,Republican,-0.3264,0.3132,0.6396,3
96,1308,1717,Democrat,Republican,-0.3264,0.3315,0.6579,1
96,1308,1722,Democrat,Republican,-0.3264,0.2487,0.5751,5
96,1308,1723,Democrat,Republican,-0.3264,0.3884,0.7148,3
96,1308,1725,Democrat,Republican,-0.3264,0.154,0.4804,2
96,1308,1727,Democrat,Republican,-0.3264,0.21,0.5364,5
96,1309,1585,Democrat,Republican,-0.1567,0.345,0.5017,4
96,1309,1591,Democrat,Republican,-0.1567,0.1349,0.2916,3
96,1309,1592,Democrat,Republican,-0.1567,-0.124,0.0327,1
96,1309,1603,Democrat,Republican,-0.1567,0.1946,0.3513,4
96,1309,1618,Democrat,Republican,-0.1567,0.1797,0.3364,2
96,1309,1619,Democrat,Republican,-0.1567,0.2253,0.382,3
96,1309,1641,Democrat,Republican,-0.1567,0.2884,0.4451,1
96,1309,1642,Democrat,Republican,-0.1567,0.4827,0.6394,2
96,1309,1643,Democrat,Republican,-0.1567,0.2739,0.4306,1
96,1309,1647,Democrat,Republican,-0.1567,0.2588,0.4155,9
96,1309,1654,Democrat,Republican,-0.1567,0.2356,0.3923,1
96,1309,1669,Democrat,Republican,-0.1567,0.4027,0.5594,1
96,1309,1676,Democrat,Republican,-0.1567,0.2399,0.3966,3
96,1309,1684,Democrat,Republican,-0.1567,0.3304,0.4871,1
96,1309,1698,Democrat,Republican,-0.1567,0.1901,0.3468,4
96,1309,1706,Democrat,Republican,-0.1567,0.2512,0.4079,2
96,1309,1712,Democrat,Republican,-0.1567,0.2681,0.4248,2
96,1309,1732,Democrat,Republican,-0.1567,0.2361,0.3928,1
96,1309,1736,Democrat,Republican,-0.1567,0.0587,0.2154,1
96,1309,1737,Democrat,Republican,-0.1567,0.1375,0.2942,3
96,1310,1589,Democrat,Republican,-0.2514,0.1691,0.4205,2
96,1310,1597,Democrat,Republican,-0.2514,0.3717,0.6231,1
96,1310,1604,Democrat,Republican,-0.2514,0.1731,0.4245,1
96,1310,1605,Democrat,Republican,-0.2514,0.2174,0.4688,2
96,1310,1639,Democrat,Republican,-0.2514,0.5738,0.8252,3
96,1310,1652,Democrat,Republican,-0.2514,0.3306,0.582,2
96,1310,1666,Democrat,Republican,-0.2514,0.2818,0.5332,3
96,1310,1674,Democrat,Republican,-0.2514,0.1559,0.4073,1
96,1310,1693,Democrat,Republican,-0.2514,0.407,0.6584,2
96,1310,1697,Democrat,Republican,-0.2514,0.145,0.3964,6
96,1310,1704,Democrat,Republican,-0.2514,0.4404,0.6918,1
96,1310,1708,Democrat,Republican,-0.2514,0.551,0.8024,1
96,1310,1713,Democrat,Republican,-0.2514,-0.0192,0.2322,3
96,1310,1719,Democrat,Republican,-0.2514,0.3843,0.6357,1
96,1310,1723,Democrat,Republican,-0.2514,0.3884,0.6398,2
96,1310,1728,Democrat,Republican,-0.2514,0.3981,0.6495,3
96,1310,1736,Democrat,Republican,-0.2514,0.0587,0.3101,2
96,1311,1600,Democrat,Republican,-0.3289,0.1831,0.512,1
96,1311,1629,Democrat,Republican,-0.3289,0.2945,0.6234,1
96,1311,1642,Democrat,Republican,-0.3289,0.4827,0.8116,6
96,1311,1650,Democrat,Republican,-0.3289,0.6475,0.9764,6
96,1311,1660,Democrat,Republican,-0.3289,0.4446,0.7735,1
96,1311,1664,Democrat,Republican,-0.3289,0.1999,0.5288,2
96,1311,1672,Democrat,Republican,-0.3289,0.2336,0.5625,1
96,1311,1698,Democrat,Republican,-0.3289,0.1901,0.519,1
96,1311,1711,Democrat,Republican,-0.3289,0.44,0.7689,6
96,1311,1713,Democrat,Republican,-0.3289,-0.0192,0.3097,1
96,1311,1715,Democrat,Republican,-0.3289,0.2101,0.539,2
96,1311,1731,Democrat,Republican,-0.3289,0.2537,0.5826,4
96,1312,1585,Democrat,Republican,-0.1982,0.345,0.5432,2
96,1312,1590,Democrat,Republican,-0.1982,0.2971,0.4953,1
96,1312,1592,Democrat,Republican,-0.1982,-0.124,0.0742,1
96,1312,1602,Democrat,Republican,-0.1982,0.4775,0.6757,1
96,1312,1620,Democrat,Republican,-0.1982,0.4458,0.644,3
96,1312,1629,Democrat,Republican,-0.1982,0.2945,0.4927,1
96,1312,1632,Democrat,Republican,-0.1982,0.1665,0.3647,1
96,1312,1633,Democrat,Republican,-0.1982,0.1949,0.3931,1
96,1312,1639,Democrat,Republican,-0.1982,0.5738,0.772,1
96,1312,1641,Democrat,Republican,-0.1982,0.2884,0.4866,1
96,1312,1644,Democrat,Republican,-0.1982,0.3483,0.5465,2
96,1312,1652,Democrat,Republican,-0.1982,0.3306,0.5288,2
96,1312,1663,Democrat,Republican,-0.1982,-0.0121,0.1861,2
96,1312,1666,Democrat,Republican,-0.1982,0.2818,0.48,9
96,1312,1702,Democrat,Republican,-0.1982,0.3535,0.5517,2
96,1312,1720,Democrat,Republican,-0.1982,0.224,0.4222,3
96,1312,1738,Democrat,Republican,-0.1982,0.1355,0.3337,1
96,1313,1595,Democrat,Republican,-0.1095,-0.0458,0.0637,2
96,1313,1608,Democrat,Republican,-0.1095,0.5125,0.622,6
96,1313,1619,Democrat,Republican,-0.1095,0.2253,0.3348,1
96,1313,1623,Democrat,Republican,-0.1095,0.4137,0.5232,6
96,1313,1635,Democrat,Republican,-0.1095,0.2381,0.3476,5
96,1313,1656,Democrat,Republican,-0.1095,0.2436,0.3531,7
96,1313,1663,Democrat,Republican,-0.1095,-0.0121,0.0974,4
96,1313,1682,Democrat,Republican,-0.1095,0.2816,0.3911,1
96,1313,1693,Democrat,Republican,-0.1095,0.407,0.5165,1
96,1313,1703,Democrat,Republican,-0.1095,0.3739,0.4834,1
96,1313,1706,Democrat,Republican,-0.1095,0.2512,0.3607,1
96,1313,1709,Democrat,Republican,-0.1095,0.2664,0.3759,1
96,1313,1713,Democrat,Republican,-0.1095,-0.0192,0.0903,3
96,1313,1726,Democrat,Republican,-0.1095,0.437,0.5465,4
96,1314,1587,Democrat,Republican,-0.2385,0.3097,0.5482,3
96,1314,1595,Democrat,Republican,-0.2385,-0.0458,0.1927,1
96,1314,1615,Democrat,Republican,-0.2385,0.2597,0.4982,2
96,1314,1624,Democrat,Republican,-0.2385,0.1915,0.43,1
96,1314,1628,Democrat,Republican,-0.2385,0.4643,0.7028,1
96,1314,1630,Democrat,Republican,-0.2385,0.4044,0.6429,2
96,1314,1649,Democrat,Republican,-0.2385,0.4512,0.6897,2
96,1314,1653,Democrat,Republican,-0.2385,0.3122,0.5507,4
