removals,lcc_frac,num_components,efficiency,strategy
0,1.0,1.0,0.4119571865443438,Detective
1,0.7909090909090909,22.0,0.23711632121418205,Detective
2,0.7545454545454545,25.0,0.19605406660182886,Detective
3,0.6181818181818182,38.0,0.12661900003638807,Detective
4,0.4727272727272727,44.0,0.07882086167800507,Detective
5,0.39090909090909093,50.0,0.05268104250247106,Detective
6,0.24545454545454545,53.0,0.03236868309683835,Detective
7,0.17272727272727273,57.0,0.02260930262072463,Detective
8,0.10909090909090909,63.0,0.016186408556822074,Detective
9,0.10909090909090909,64.0,0.0142989156058463,Detective
10,0.05454545454545454,68.0,0.010353535353535353,Detective
11,0.05454545454545454,69.0,0.009431045145330857,Detective
12,0.045454545454545456,71.0,0.008135212848025809,Detective
13,0.045454545454545456,73.0,0.007087628865979381,Detective
14,0.045454545454545456,74.0,0.006359649122807019,Detective
15,0.03636363636363636,76.0,0.005225830533781261,Detective
16,0.03636363636363636,77.0,0.004423091588499962,Detective
17,0.02727272727272727,78.0,0.0037400654511453952,Detective
18,0.02727272727272727,79.0,0.003225035833731486,Detective
19,0.01818181818181818,80.0,0.002686202686202686,Detective
20,0.01818181818181818,79.0,0.0027465667915106116,Detective
21,0.01818181818181818,79.0,0.002553626149131767,Detective
22,0.01818181818181818,78.0,0.002612330198537095,Detective
23,0.01818181818181818,77.0,0.002673082063619353,Detective
24,0.01818181818181818,77.0,0.0024623803009575923,Detective
25,0.01818181818181818,76.0,0.0025210084033613447,Detective
26,0.01818181818181818,76.0,0.002294893861158921,Detective
27,0.01818181818181818,75.0,0.0023508668821627977,Detective
28,0.01818181818181818,75.0,0.0021077988557663355,Detective
29,0.01818181818181818,75.0,0.001851851851851852,Detective
30,0.01818181818181818,75.0,0.0015822784810126582,Detective
31,0.01818181818181818,74.0,0.0016228497241155468,Detective
32,0.01818181818181818,74.0,0.001332001332001332,Detective
33,0.01818181818181818,73.0,0.001367053998632946,Detective
34,0.01818181818181818,72.0,0.0014035087719298245,Detective
35,0.01818181818181818,71.0,0.0014414414414414415,Detective
36,0.01818181818181818,70.0,0.001480932987782303,Detective
37,0.01818181818181818,69.0,0.0015220700152207,Detective
38,0.01818181818181818,69.0,0.0011737089201877935,Detective
39,0.01818181818181818,68.0,0.0012072434607645875,Detective
40,0.01818181818181818,67.0,0.0012422360248447205,Detective
41,0.01818181818181818,66.0,0.0012787723785166241,Detective
42,0.01818181818181818,65.0,0.0013169446883230904,Detective
43,0.01818181818181818,64.0,0.0013568521031207597,Detective
44,0.01818181818181818,63.0,0.0013986013986013986,Detective
45,0.01818181818181818,62.0,0.0014423076923076924,Detective
46,0.01818181818181818,61.0,0.001488095238095238,Detective
47,0.01818181818181818,60.0,0.0015360983102918587,Detective
48,0.01818181818181818,59.0,0.0015864621893178213,Detective
49,0.01818181818181818,58.0,0.001639344262295082,Detective
50,0.01818181818181818,57.0,0.001694915254237288,Detective
51,0.01818181818181818,56.0,0.0017533606078316774,Detective
52,0.01818181818181818,56.0,0.0012099213551119178,Detective
53,0.01818181818181818,55.0,0.0012531328320802004,Detective
54,0.01818181818181818,54.0,0.0012987012987012987,Detective
55,0.01818181818181818,53.0,0.0013468013468013469,Detective
0,1.0,1.0,0.4119571865443438,Bruiser
1,0.7909090909090909,22.0,0.23711632121418205,Bruiser
2,0.6545454545454545,35.0,0.1626889350409567,Bruiser
3,0.6181818181818182,38.0,0.12661900003638807,Bruiser
4,0.5363636363636364,44.0,0.08624861112731755,Bruiser
5,0.39090909090909093,50.0,0.05268104250247106,Bruiser
6,0.3181818181818182,54.0,0.04016590205910608,Bruiser
7,0.2545454545454545,60.0,0.03051000335409238,Bruiser
8,0.2545454545454545,61.0,0.02894629799114363,Bruiser
9,0.10909090909090909,64.0,0.0142989156058463,Bruiser
10,0.10909090909090909,65.0,0.013476671476671476,Bruiser
11,0.05454545454545454,69.0,0.009431045145330857,Bruiser
12,0.05454545454545454,70.0,0.008783925941510624,Bruiser
13,0.05454545454545454,72.0,0.007749856815578464,Bruiser
14,0.05454545454545454,74.0,0.006670321637426902,Bruiser
15,0.05454545454545454,74.0,0.006252332960059725,Bruiser
16,0.03636363636363636,76.0,0.0047662624876077175,Bruiser
17,0.02727272727272727,77.0,0.004090696587190276,Bruiser
18,0.02727272727272727,78.0,0.00358337314859054,Bruiser
19,0.02727272727272727,78.0,0.003418803418803419,Bruiser
20,0.02727272727272727,79.0,0.002871410736579276,Bruiser
21,0.01818181818181818,80.0,0.0022982635342185904,Bruiser
22,0.01818181818181818,80.0,0.0020898641588296763,Bruiser
23,0.01818181818181818,80.0,0.0018711574445335472,Bruiser
24,0.01818181818181818,80.0,0.0016415868673050615,Bruiser
25,0.01818181818181818,80.0,0.0014005602240896359,Bruiser
26,0.01818181818181818,80.0,0.0011474469305794606,Bruiser
27,0.01818181818181818,80.0,0.000881575080811049,Bruiser
28,0.01818181818181818,80.0,0.0006022282445046673,Bruiser
29,0.01818181818181818,80.0,0.00030864197530864197,Bruiser
30,0.00909090909090909,80.0,0.0,Bruiser
31,0.00909090909090909,79.0,0.0,Bruiser
32,0.00909090909090909,78.0,0.0,Bruiser
33,0.00909090909090909,77.0,0.0,Bruiser
34,0.00909090909090909,76.0,0.0,Bruiser
35,0.00909090909090909,75.0,0.0,Bruiser
36,0.00909090909090909,74.0,0.0,Bruiser
37,0.00909090909090909,73.0,0.0,Bruiser
38,0.00909090909090909,72.0,0.0,Bruiser
39,0.00909090909090909,71.0,0.0,Bruiser
40,0.00909090909090909,70.0,0.0,Bruiser
