app_id,game,genres,release_year,release_date,metacritic_score,steam_positive_review_pct,steam_total_reviews,total_achievements,easiest_achievement_pct,hardest_achievement_pct,median_achievement_pct,wall_achievement,wall_drop_pct,wall_before_pct,wall_after_pct,wall_position_ratio,half_players_gone_ratio,ten_pct_at
730,Counter-Strike 2,"Action, Free To Play",2012,"Aug 21, 2012",,86.2,9514692,1,,,,,,,,,,
578080,PUBG: BATTLEGROUNDS,"Action, Adventure, Massively Multiplayer, Free To Play",2017,"21 Dec, 2017",,60.2,2695745,37,64.6,0.7,18.9,ACHIVE018,10.6,64.6,54.0,0.0,0.081,27
1172470,Apex Legends,"Action, Adventure, Free To Play",2020,"Nov 4, 2020",88,67.6,1040411,12,46.8,14.7,28.3,TEAM_PLAYER_2,7.4,39.7,32.3,0.25,0.0,12
252490,Rust,"Action, Adventure, Indie, Massively Multiplayer, RPG",2018,"Feb 8, 2018",69,87.0,1346627,92,72.2,0.1,18.3,VISIT_ROAD,9.8,72.2,62.4,0.0,0.076,56
236390,War Thunder,"Action, Massively Multiplayer, Simulation, Free To Play",2013,"Aug 15, 2013",81,72.8,732900,91,38.6,0.0,3.0,steam_trophy_open_10_chests,4.7,30.9,26.2,0.022,0.0,17
413150,Stardew Valley,"Indie, RPG, Simulation",2016,"Feb 26, 2016",89,98.5,993984,49,62.9,1.3,16.0,1,6.1,55.5,49.4,0.041,0.061,30
271590,Grand Theft Auto V,"Action, Adventure",2015,"13 Apr, 2015",96,87.6,2052486,77,82.3,4.0,12.5,ACH30,22.0,75.0,53.0,0.013,0.039,51
230410,Warframe,"Action, RPG, Free To Play",2013,"Mar 25, 2013",69,87.7,657135,193,65.0,0.8,13.4,ACHIEVEMENT_130,5.2,54.9,49.7,0.026,0.031,132
381210,Dead by Daylight,Action,2016,"Jun 14, 2016",,78.6,889317,297,62.3,0.3,4.8,ACH_RANKING,7.3,56.8,49.5,0.01,0.013,103
359550,Rainbow Six Siege,"Action, Free To Play",2015,"Dec 1, 2015",,82.5,1499238,48,16.8,2.9,11.4,RB6X_Ach_29,1.1,4.2,3.1,0.938,0.0,32
440,Team Fortress 2,"Action, Free To Play",2007,"Oct 10, 2007",92,90.8,1223825,520,50.1,3.2,10.0,TF_SCOUT_LONG_DISTANCE_RUNNER,9.7,50.1,40.4,0.0,0.002,261
322170,Geometry Dash,"Action, Indie",2014,"Dec 22, 2014",,93.1,570352,547,88.3,0.1,3.0,geometry.ach.level01b,8.9,84.6,75.7,0.004,0.04,168
1203220,NARAKA: BLADEPOINT,"Action, Adventure, Massively Multiplayer, Free To Play",2021,"Aug 11, 2021",,73.5,298671,40,66.9,3.1,21.8,一马当先,11.4,48.2,36.8,0.15,0.15,34
613100,House Flipper,"Indie, Simulation",2018,"17 May, 2018",67,94.1,103060,96,93.3,0.2,2.8,FirstMoney,58.2,93.3,35.1,0.0,0.01,17
105600,Terraria,"Action, Adventure, Indie, RPG",2011,"16 May, 2011",83,97.4,1513331,137,87.0,0.3,24.6,TIMBER,9.3,87.0,77.7,0.0,0.139,103
292030,The Witcher 3,RPG,2015,"May 18, 2015",93,96.8,864668,78,60.6,1.8,13.2,LILAC,9.2,60.6,51.4,0.0,0.026,47
1245620,Elden Ring,"Action, RPG",2022,"Feb 24, 2022",94,93.0,1124408,42,75.3,10.3,41.8,ACH03,5.9,16.2,10.3,0.952,0.262,42
1091500,Cyberpunk 2077,RPG,2020,"9 Dec, 2020",86,86.3,928041,57,88.7,4.4,16.9,TheFool,20.6,88.7,68.1,0.0,0.105,37
1174180,Red Dead Redemption 2,"Action, Adventure",2019,"5 Dec, 2019",93,92.3,862348,51,85.3,1.2,10.1,Achievement1,21.9,72.5,50.6,0.02,0.059,26
620,Portal 2,"Action, Adventure",2011,"Apr 18, 2011",95,98.7,457082,51,74.3,2.4,24.5,ACH.NEW_BLOOD,9.5,21.2,11.7,0.51,0.098,29
550,Left 4 Dead 2,Action,2009,"Nov 16, 2009",89,97.5,1025558,101,68.4,0.6,6.4,ACH_SAVE_PLAYER_FROM_JOCKEY_FAST,14.2,65.3,51.1,0.02,0.04,41
346110,ARK: Survival Evolved,"Action, Adventure, Indie, Massively Multiplayer, RPG",2017,"Aug 27, 2017",70,83.3,763600,32,57.1,3.1,5.7,ACHIEVEMENT_10,24.1,54.1,30.0,0.062,0.094,13
1085660,Destiny 2,"Action, Adventure, Free To Play",2019,"Oct 1, 2019",83,77.3,645114,23,82.7,7.0,17.0,ACH_1,33.5,82.7,49.2,0.0,0.043,19
582010,Monster Hunter: World,Action,2018,"8 Aug, 2018",88,88.7,504816,100,96.9,0.8,23.7,Achievement15,10.9,96.9,86.0,0.0,0.14,71
374320,Dark Souls III,Action,2016,"Apr 11, 2016",89,94.3,432330,43,93.9,5.0,42.8,ACH27,18.0,85.6,67.6,0.047,0.279,36
814380,Sekiro,"Action, Adventure",2019,"Mar 21, 2019",88,95.3,345706,34,94.0,9.8,31.3,ACH19,26.3,85.5,59.2,0.059,0.147,33
1888160,ARMORED CORE VI,Action,2023,"Aug 24, 2023",86,91.6,82911,30,91.5,6.0,36.8,ACH19,9.6,61.8,52.2,0.267,0.333,28
489830,The Elder Scrolls V: Skyrim SE,RPG,2016,"27 Oct, 2016",74,92.3,363071,75,71.8,2.8,13.9,NEW_ACHIEVEMENT_1_0,9.9,71.8,61.9,0.0,0.04,53
